,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10
p21,0.4908788204193115,0.5475432276725769,0.5965096354484558,0.6347773671150208,0.6631857752799988,0.6885337233543396,0.7021234631538391,0.7067745327949524,0.7124123573303223,0.7065981030464172,0.693729043006897,0.6953096985816956,0.6947213411331177,0.6909000277519226,0.6853147745132446,0.6713278293609619,0.6537578701972961,0.6227449774742126,0.5878999829292297,0.5403288006782532,0.48599544167518616
p22,0.33932507038116455,0.39115121960639954,0.43966203927993774,0.48221084475517273,0.5188584923744202,0.5553474426269531,0.5833049416542053,0.604895293712616,0.6287446618080139,0.6418779492378235,0.6468519568443298,0.6347068548202515,0.6164926290512085,0.5949057936668396,0.5727589726448059,0.545305609703064,0.5154011845588684,0.47637221217155457,0.4363147020339966,0.388916015625,0.33854940533638
p23,0.2464103102684021,0.29019102454185486,0.3320855498313904,0.36992940306663513,0.4036845266819,0.43812811374664307,0.4660976529121399,0.48902761936187744,0.5144379138946533,0.530858039855957,0.5406315326690674,0.525671660900116,0.5048874020576477,0.4815533459186554,0.4580552875995636,0.4307975769042969,0.40190428495407104,0.3660189211368561,0.33000069856643677,0.28886622190475464,0.24619294703006744
p24,0.20038574934005737,0.23940987884998322,0.27731168270111084,0.31199517846107483,0.3435576558113098,0.37587764859199524,0.40273845195770264,0.425356924533844,0.4503464698791504,0.4676048457622528,0.47910916805267334,0.46363282203674316,0.4425736665725708,0.4195292592048645,0.3964608907699585,0.3703230917453766,0.34275323152542114,0.30932316184043884,0.2760835886001587,0.2389262467622757,0.20079191029071808
p25,0.17606620490550995,0.21115955710411072,0.24542757868766785,0.2771246135234833,0.30622777342796326,0.33605390787124634,0.3612220287322998,0.3827342689037323,0.40640437602996826,0.42335331439971924,0.4352462887763977,0.4204091727733612,0.4001147747039795,0.3782658874988556,0.35629913210868835,0.3320994973182678,0.3064100742340088,0.27574267983436584,0.2452223300933838,0.21172833442687988,0.17751051485538483
p26,0.18979185819625854,0.22067494690418243,0.2508091926574707,0.2786543071269989,0.30426058173179626,0.3307651877403259,0.35307472944259644,0.3720809519290924,0.3932223320007324,0.40829628705978394,0.41881102323532104,0.40552061796188354,0.3873739540576935,0.3678727447986603,0.34845399856567383,0.32688918709754944,0.30414676666259766,0.277018666267395,0.2501215934753418,0.22056765854358673,0.1905447095632553
p27,0.14015333354473114,0.16153176128864288,0.182710200548172,0.20214241743087769,0.2204367220401764,0.23930810391902924,0.2553020715713501,0.26847419142723083,0.28379425406455994,0.29434800148010254,0.3009808659553528,0.29159632325172424,0.27855023741722107,0.26501837372779846,0.25117969512939453,0.235557422041893,0.2193988710641861,0.19957055151462555,0.18087953329086304,0.15986427664756775,0.1391739696264267
p28,0.14672592282295227,0.16329169273376465,0.17951613664627075,0.19443310797214508,0.20848943293094635,0.22347618639469147,0.23539312183856964,0.24489223957061768,0.2561172544956207,0.2632743716239929,0.2670433521270752,0.26141592860221863,0.2517283856868744,0.2414451539516449,0.2314135730266571,0.21999718248844147,0.20744304358959198,0.19215291738510132,0.17739470303058624,0.1611758917570114,0.1451590210199356
p29,0.12966527044773102,0.14261800050735474,0.155150905251503,0.1667489856481552,0.1776040941476822,0.18918421864509583,0.19776372611522675,0.20398885011672974,0.2114870846271515,0.21557572484016418,0.2161116749048233,0.21387530863285065,0.2076762169599533,0.2007341831922531,0.1939963698387146,0.1859895884990692,0.1764122098684311,0.16450940072536469,0.15290461480617523,0.14034199714660645,0.12784971296787262
p30,0.10419594496488571,0.11403811722993851,0.12372120469808578,0.13220445811748505,0.14028610289096832,0.14865869283676147,0.15419547259807587,0.15709944069385529,0.16106855869293213,0.1619712859392166,0.1587136834859848,0.16017289459705353,0.1572752445936203,0.15416885912418365,0.1506538987159729,0.1455022096633911,0.13875065743923187,0.12958823144435883,0.12112735956907272,0.11139563471078873,0.10197523236274719
p31,0.0849846750497818,0.09144049882888794,0.09830708056688309,0.10398165136575699,0.10929415374994278,0.11471113562583923,0.11697189509868622,0.11623943597078323,0.11627383530139923,0.11349944025278091,0.10556551069021225,0.11168724298477173,0.11277192085981369,0.11341258138418198,0.11353862285614014,0.11169131845235825,0.10765179991722107,0.10145178437232971,0.09572018682956696,0.0888487696647644,0.0820726826786995
p32,0.09379025548696518,0.09731924533843994,0.10062246769666672,0.10302562266588211,0.10519194602966309,0.10704139620065689,0.10545463114976883,0.10008691251277924,0.094899982213974,0.08738641440868378,0.07227227836847305,0.08520401269197464,0.09138832241296768,0.09727403521537781,0.10209854692220688,0.1041550487279892,0.10340030491352081,0.10047552734613419,0.09790303558111191,0.09413975477218628,0.091089628636837
p33,0.10867498815059662,0.10606347769498825,0.10238766670227051,0.09746057540178299,0.09162388741970062,0.08409038931131363,0.07225097715854645,0.05362771451473236,0.032601792365312576,0.011324308812618256,-0.027707047760486603,0.007546153385192156,0.02823234163224697,0.04902735352516174,0.06755128502845764,0.07979407161474228,0.08798853307962418,0.09350696206092834,0.09787650406360626,0.10086210072040558,0.10389649122953415
p34,-0.6160234212875366,-0.6548812985420227,-0.7057609558105469,-0.7613619565963745,-0.8204345107078552,-0.8470373153686523,-0.6476055979728699,-0.6932976841926575,-0.7102953791618347,-0.7063270807266235,-0.6822721362113953,-0.6951713562011719,-0.6927255392074585,-0.6784940361976624,-0.6404971480369568,-0.7511491179466248,-0.8163336515426636,-0.7495309114456177,-0.6959301829338074,-0.6427725553512573,-0.600130558013916
p35,-0.6475347876548767,-0.6846085786819458,-0.7343928217887878,-0.7901597619056702,-0.8534303307533264,-0.8344696760177612,-0.6833495497703552,-0.7143344283103943,-0.7256276607513428,-0.7140013575553894,-0.6870949864387512,-0.7039406895637512,-0.7077644467353821,-0.6988381743431091,-0.6733220219612122,-0.7284704446792603,-0.8512397408485413,-0.7785632014274597,-0.7243762016296387,-0.6720629930496216,-0.6313511729240417
p36,-1.0857913494110107,-1.14263117313385,-1.2097688913345337,-1.2478339672088623,-1.2265568971633911,-1.1742538213729858,-1.141331434249878,-1.1391034126281738,-1.1364436149597168,-1.093518614768982,-1.0408451557159424,-1.082552433013916,-1.1075979471206665,-1.112215280532837,-1.1070244312286377,-1.1315603256225586,-1.189670443534851,-1.2116926908493042,-1.1885082721710205,-1.1225956678390503,-1.0632951259613037
p37,-0.6267918944358826,-0.6651501059532166,-0.7161774039268494,-0.7755011916160583,-0.835143506526947,-0.6434357166290283,-0.6377095580101013,-0.6382555365562439,-0.6199399828910828,-0.5744309425354004,-0.5411524176597595,-0.5734620094299316,-0.6014242768287659,-0.6191600561141968,-0.6201808452606201,-0.5910255312919617,-0.8187415599822998,-0.7666480541229248,-0.7079547643661499,-0.6538648009300232,-0.6122848987579346
p38,-0.24715083837509155,-0.25241735577583313,-0.2556317448616028,-0.25676122307777405,-0.25587499141693115,-0.25508689880371094,-0.24839390814304352,-0.2363506257534027,-0.22685635089874268,-0.21774540841579437,-0.20443642139434814,-0.2109462171792984,-0.21959464251995087,-0.2290700376033783,-0.24014650285243988,-0.24707886576652527,-0.25003424286842346,-0.2495500147342682,-0.2497769594192505,-0.24653030931949615,-0.24135242402553558
p39,-0.2149355113506317,-0.21946294605731964,-0.22197692096233368,-0.22246520221233368,-0.221213236451149,-0.21987882256507874,-0.21368420124053955,-0.20353226363658905,-0.19741597771644592,-0.19482873380184174,-0.19143898785114288,-0.18742023408412933,-0.19045406579971313,-0.1969836950302124,-0.20576918125152588,-0.21181948482990265,-0.21512357890605927,-0.21505601704120636,-0.21576683223247528,-0.21313698589801788,-0.20865611732006073
p40,-0.18509504199028015,-0.1859218329191208,-0.18676374852657318,-0.18607330322265625,-0.18322151899337769,-0.1795429140329361,-0.17295868694782257,-0.16695746779441833,-0.1736668199300766,-0.20039863884449005,-0.21557581424713135,-0.18857839703559875,-0.169772207736969,-0.1623520702123642,-0.1658773273229599,-0.1716819852590561,-0.17680113017559052,-0.1785859912633896,-0.1803591400384903,-0.17925596237182617,-0.17800146341323853
