DXEX v5
C:\Users\LDA-User\Desktop\MIS1_SS24.lda
11:11:38
7;0,00 mm;0,00 mm;0,00 mm
New Region
"Row#"	"Arrival Time [ms]"	"Transit Time [us]"	"Velocity U [m/s]"	"Arrival Time{2} [ms]"	"Transit Time{2} [us]"	"Velocity V (PDA){2} [m/s]"	
1	0,69008	2,8	18,35	0,09147	2,8	-3,95
2	8,71141	2,6	18,40	0,68965	4,1	-3,95
3	12,89147	2,8	18,41	1,65136	3,4	-3,91
4	13,12656	2,6	18,56	2,91813	2,3	-4,14
5	17,99440	2,6	18,29	5,26139	2,3	-4,07
6	18,51835	3,0	18,22	5,49989	2,3	-4,24
7	19,85339	2,3	18,15	7,11483	2,6	-4,04
8	20,84581	2,8	18,22	8,16101	2,6	-4,07
9	21,39067	2,6	18,25	8,71099	4,3	-4,20
10	28,10299	3,0	18,10	9,02587	2,1	-4,26
11	44,79675	2,3	18,79	11,72453	2,1	-4,40
12	44,85307	2,6	19,35	11,92592	2,3	-4,28
13	47,64645	3,2	19,45	13,96027	2,8	-4,33
14	47,70448	2,6	19,04	15,39216	2,3	-4,52
15	49,68891	2,8	19,18	17,25328	3,2	-4,47
16	50,26149	2,1	18,96	17,54597	4,5	-4,36
17	51,45275	2,6	19,12	17,65776	2,3	-4,48
18	51,77104	2,6	18,93	18,52432	1,9	-4,24
19	52,29627	3,0	18,99	19,22149	3,4	-4,14
20	55,48901	2,6	18,36	19,37552	2,6	-4,47
21	56,13072	2,6	18,45	20,96997	2,8	-4,36
22	61,19184	3,0	17,76	21,20464	2,3	-4,11
23	63,22576	3,6	17,67	22,94629	2,3	-3,93
24	65,26907	2,8	18,02	23,09861	3,2	-4,18
25	66,34085	3,6	17,87	23,94341	4,1	-4,17
26	69,95856	2,3	17,99	24,19173	3,6	-4,02
27	71,35333	3,2	17,85	25,72901	2,6	-4,18
28	72,09019	2,6	18,03	26,08016	3,4	-4,19
29	77,23877	2,8	18,15	27,18352	2,3	-4,28
30	85,21445	2,3	19,06	27,46939	3,2	-3,93
