DXEX v5
C:\Users\LDA-User\Desktop\MIS1_SS24.lda
11:10:03
1;0,00 mm;0,00 mm;-150,00 mm
New Region
"Row#"	"Arrival Time [ms]"	"Transit Time [us]"	"Velocity U [m/s]"	"Arrival Time{2} [ms]"	"Transit Time{2} [us]"	"Velocity V (PDA){2} [m/s]"	
1	7,23173	2,3	18,42	1,15301	2,3	-3,23
2	7,68955	3,2	18,71	1,43589	2,6	-3,18
3	8,69307	2,6	18,65	1,47387	2,8	-3,15
4	8,72720	1,9	18,59	4,70075	2,1	-2,84
5	10,17232	2,6	18,54	4,95461	1,9	-3,03
6	11,17627	2,3	18,30	5,86256	2,3	-3,01
7	18,89637	3,0	17,94	6,47653	2,1	-2,91
8	20,79803	2,3	18,51	6,73424	2,8	-2,99
9	21,36336	2,6	18,28	6,75259	3,0	-2,97
10	26,13051	3,0	18,63	7,53808	2,8	-3,07
11	26,62117	3,2	18,45	11,46811	3,8	-3,16
12	29,14789	2,6	18,64	12,10384	2,3	-3,48
13	29,55963	3,0	18,84	15,82693	4,1	-3,39
14	34,02043	2,6	18,67	16,33765	3,0	-3,45
15	34,49019	3,4	18,78	16,95931	1,9	-3,79
16	35,29317	3,0	18,86	18,30203	2,3	-3,66
17	36,73445	3,2	18,80	19,20955	3,4	-3,60
18	39,04400	3,2	18,88	19,63749	2,3	-3,73
19	42,42405	3,6	18,64	25,41072	2,6	-3,57
20	52,91877	2,8	18,31	26,08827	2,1	-3,63
21	55,53765	2,8	18,64	26,62160	2,8	-3,73
22	59,21552	2,6	18,76	27,18608	2,1	-4,27
23	64,47717	3,4	18,54	27,50736	2,8	-3,93
24	67,62000	3,0	18,85	27,96816	2,3	-3,80
25	69,84677	2,1	18,60	29,14789	3,0	-3,98
26	71,14853	2,1	18,21	30,46757	3,4	-3,86
27	72,15376	3,0	18,40	32,79547	2,1	-3,60
28	75,23216	2,6	18,69	33,40176	2,1	-3,47
29	78,67920	3,2	18,23	33,94448	2,1	-3,67
30	80,27835	1,9	17,99	34,06821	2,8	-3,50
31	83,97627	3,2	18,27	34,34469	3,2	-3,87
32	84,82064	4,1	18,34	34,49061	2,8	-3,80
33	86,32677	2,6	18,21	35,29317	3,0	-3,58
34	86,52219	3,4	18,17	38,17872	4,3	-3,26
35	92,82320	2,8	18,51	40,28560	2,1	-3,30
36	109,30363	3,2	18,10	41,39621	3,0	-3,26
37	111,46811	2,6	18,32	41,67056	2,8	-3,41
38	115,56923	2,1	18,18	41,83056	2,6	-3,30
39	116,67045	2,8	17,79	43,34608	2,8	-3,38
40	116,75067	2,3	17,80	43,48091	2,6	-3,39
41	117,29253	3,0	17,86	44,37307	3,4	-3,43
42	123,31664	2,8	17,68	45,07323	2,3	-3,38
43	129,38085	3,2	17,89	45,87707	2,8	-3,38
44	134,75643	2,3	18,40	46,58576	2,8	-3,59
45	136,08123	3,2	18,59	48,17637	2,1	-3,24
