DXEX v5
C:\Users\LDA-User\Desktop\MIS1_SS24.lda
11:11:07
5;0,00 mm;0,00 mm;-50,00 mm
New Region
"Row#"	"Arrival Time [ms]"	"Transit Time [us]"	"Velocity U [m/s]"	"Arrival Time{2} [ms]"	"Transit Time{2} [us]"	"Velocity V (PDA){2} [m/s]"	
1	2,81616	2,8	18,27	0,67685	2,1	-4,22
2	3,40453	2,3	18,37	2,81573	3,4	-4,30
3	9,21019	2,6	17,90	3,22875	1,9	-4,39
4	22,86693	2,6	18,06	3,33925	2,1	-4,05
5	25,20635	2,3	18,69	3,55216	2,3	-4,36
6	30,15184	2,8	18,27	3,97456	2,3	-4,06
7	30,59685	3,2	18,22	4,45285	2,3	-4,14
8	31,78427	2,8	18,14	4,53733	2,3	-4,24
9	34,87291	2,3	18,57	5,71792	3,8	-4,42
10	37,71835	2,3	18,32	6,17061	2,1	-4,28
11	39,42928	2,3	18,27	6,24443	3,0	-4,26
12	43,27440	3,4	18,51	8,13115	4,3	-4,10
13	46,79227	2,1	18,39	8,39013	2,3	-4,15
14	47,51077	3,2	18,41	12,43579	2,3	-4,12
15	47,58587	3,2	18,24	12,71739	2,8	-4,48
16	50,09595	2,6	18,34	13,46491	3,0	-4,36
17	52,88549	3,2	17,95	15,15237	2,3	-4,30
18	55,48560	3,0	18,29	17,88560	4,1	-4,32
19	57,34629	2,6	17,82	19,44763	2,1	-3,99
20	57,93083	2,8	18,08	19,95920	3,4	-4,13
21	58,52133	2,6	18,03	20,83557	2,3	-4,32
22	64,83173	2,8	17,93	21,49051	3,4	-4,13
23	67,13659	2,3	17,73	22,84731	2,6	-3,99
24	69,93467	3,0	18,03	23,05765	2,6	-4,09
25	72,74171	2,8	17,93	24,62181	1,9	-4,17
26	73,22640	3,2	18,00	29,06469	2,6	-3,96
27	75,82651	2,3	17,88	30,15141	2,3	-3,69
28	77,10565	2,3	17,96	30,59643	1,9	-3,95
29	77,72859	4,5	17,87	33,61083	3,2	-3,47
30	78,46757	3,0	17,67	34,36475	2,6	-3,52
31	82,17573	3,6	17,74	34,87291	3,6	-3,99
32	84,38459	2,3	18,27	36,08549	2,6	-3,49
33	87,60848	4,1	17,74	38,90533	3,0	-3,87
34	93,38384	3,0	17,90	38,95781	2,6	-3,65
35	97,12144	2,8	18,41	38,99877	3,4	-3,78
36	100,27109	2,8	18,69	39,93445	2,3	-3,70
37	101,53616	2,3	18,73	40,66704	3,0	-3,94
38	101,69872	2,6	18,63	41,30192	3,4	-3,74
39	106,91003	2,3	19,37	43,27355	3,6	-4,13
40	107,18395	2,1	19,14	47,51035	3,4	-4,15
41	107,44720	3,4	18,79	48,12603	3,4	-3,90
42	120,42811	3,0	18,36	48,23781	2,3	-3,95
43	120,59579	2,3	18,65	48,86757	1,7	-3,89
44	121,25072	2,3	18,69	49,13765	3,6	-3,98
45	121,37872	2,8	18,63	50,09595	3,8	-4,12
46	123,24411	3,2	18,49	51,26629	2,6	-4,08
47	125,56688	2,8	18,22	51,99845	2,1	-4,04
48	129,97861	2,6	18,03	52,72763	2,3	-4,33
49	130,57040	2,6	17,97	52,88464	1,9	-4,22
50	130,71077	2,3	18,48	53,32155	3,2	-4,41
51	131,79493	2,8	18,19	56,17467	2,6	-4,48
52	136,18661	3,6	18,47	56,26981	2,6	-4,22
53	138,14459	3,4	18,20	56,59963	2,8	-4,51
54	139,55301	3,4	18,25	56,97083	3,6	-4,49
55	159,22789	3,4	18,22	57,71451	3,0	-4,51
56	164,50960	3,0	18,26	57,93083	2,6	-4,42
57	165,87963	2,6	18,26	58,52133	2,3	-4,67
58	167,23301	2,3	18,31	60,75835	2,6	-4,45
59	168,10341	2,6	18,23	61,65563	2,3	-4,59
60	170,01360	2,1	18,55	61,80539	3,2	-4,58
61	170,77563	2,8	18,09	61,81051	2,1	-4,45
62	180,20923	3,0	18,15	62,84091	2,8	-4,50
63	180,67045	3,6	18,03	63,04059	1,9	-4,74
64	180,91451	3,0	17,99	63,15707	2,6	-4,72
65	181,24603	3,2	17,97	63,84869	4,3	-4,45
66	184,23397	2,3	17,97	63,86107	3,2	-4,38
67	189,80880	3,6	18,22	64,59835	2,1	-4,30
68	192,24549	2,6	18,04	65,31003	3,2	-4,60
69	193,43205	2,3	18,06	67,37509	1,7	-4,56
70	200,15163	2,1	17,97	67,58757	1,9	-4,54
71	200,44389	3,0	18,00	68,61115	3,2	-4,22
72	203,23984	2,3	18,51	69,09968	3,0	-4,15
73	213,90608	1,9	18,59	69,19824	2,8	-4,42
74	214,18555	2,8	18,66	70,84773	3,0	-4,12
75	215,91013	2,8	18,37	72,41915	3,6	-4,11
76	217,59419	2,3	18,23	72,83984	3,8	-4,21
77	220,42299	2,1	18,78	73,14107	3,0	-4,05
78	224,11365	2,3	18,60	74,47952	2,3	-3,87
79	225,24731	2,6	18,25	76,46565	2,3	-3,69
80	226,54480	3,0	18,07	76,62949	3,0	-3,92
81	229,84891	2,3	18,21	77,05957	2,8	-3,42
82	230,15568	2,1	18,15	80,24763	3,2	-3,64
83	233,33691	2,1	17,62	80,46907	2,8	-3,64
84	236,97168	2,6	18,24	82,13520	3,0	-3,70
85	237,12144	2,8	17,78	82,54011	3,6	-3,67
86	237,23323	2,1	17,88	84,83685	3,6	-3,61
87	237,47728	2,1	18,23	85,89712	3,2	-3,61
88	248,25104	2,6	18,56	86,02512	2,6	-3,85
89	249,41499	3,6	18,20	86,83792	4,3	-3,75
90	249,94533	2,6	18,74	87,49499	2,6	-3,57
91	256,59792	3,0	19,04	87,80603	3,6	-3,63
92	258,69243	2,6	18,88	89,87451	3,6	-3,60
93	259,94128	2,3	18,93	90,14971	2,3	-3,81
94	261,11205	2,6	18,59	91,02352	2,8	-3,44
95	263,29403	3,4	18,73	91,26331	3,2	-3,75
96	266,48635	2,6	18,93	92,57189	2,8	-3,70
97	268,07909	2,8	19,00	94,74235	2,1	-3,43
98	268,31632	2,3	18,70	95,14341	2,6	-3,70
99	269,41243	2,8	18,98	95,35589	2,1	-3,63
100	269,51269	2,3	18,30	95,46128	2,6	-3,78
101	269,80752	2,1	19,01	96,23184	2,1	-4,08
102	271,22320	3,4	18,85	96,56805	2,3	-4,20
103	274,73467	1,9	18,90	97,12187	3,4	-4,22
104	278,91259	3,6	18,33	98,61947	2,6	-3,86
105	282,61008	3,2	18,46	98,92112	2,3	-3,80
106	291,80005	2,8	17,98	99,64603	3,0	-3,85
107	292,55269	2,3	17,79	99,72411	2,6	-3,51
108	292,70544	2,3	18,12	100,52965	2,8	-4,11
109	294,26576	3,4	18,28	101,56091	3,4	-3,91
110	294,77477	2,3	17,91	101,69872	2,6	-4,06
111	296,71952	3,4	17,62	102,03237	2,6	-3,83
112	296,92389	2,3	17,65	102,31867	2,1	-4,22
113	309,06811	2,1	18,44	103,22747	3,0	-4,10
114	309,99611	2,3	18,65	103,25733	2,1	-4,15
115	311,74331	3,0	18,83	103,58160	2,8	-3,96
116	313,56944	2,3	18,70	103,68400	2,6	-4,26
117	314,46331	2,1	18,72	106,60752	3,0	-4,17
118	315,90032	2,6	18,86	106,87973	2,6	-3,93
119	316,01808	2,6	18,68	107,37339	3,2	-4,08
120	321,13125	2,3	18,55	107,47323	3,0	-4,09
121	324,11664	3,0	18,14	107,58075	2,3	-4,13
122	327,71216	3,4	17,84	110,71461	2,8	-4,30
123	328,92347	2,8	17,77	111,03035	2,8	-4,17
124	329,53019	2,8	17,72	111,51461	2,6	-4,26
125	330,08997	2,6	17,95	111,73179	2,8	-4,32
126	330,32635	3,0	17,84	114,39333	2,1	-4,28
127	336,38757	2,1	17,87	115,06320	1,9	-4,45
128	341,40347	2,6	18,00	115,29232	1,7	-4,56
129	343,37637	2,6	18,12	115,63067	2,6	-4,34
130	345,73584	2,6	17,75	116,56549	2,1	-4,52
131	349,10053	3,8	18,03	117,17989	3,0	-4,55
132	351,02011	2,3	18,30	117,32453	3,2	-4,53
133	352,29712	2,1	18,35	118,83195	3,4	-4,57
134	354,03067	2,3	17,92	119,82096	2,3	-4,36
135	354,09765	3,0	17,78	120,14096	2,6	-4,35
136	356,31248	2,6	18,43	120,27707	2,6	-4,13
137	360,33467	2,1	18,13	121,38427	3,0	-4,13
138	362,98469	2,6	18,26	121,87109	2,6	-4,27
139	363,55472	2,3	18,34	124,87483	3,8	-4,18
140	366,86395	3,0	18,47	125,52976	2,1	-3,96
141	369,35909	3,0	18,54	125,61509	2,6	-4,21
142	370,09339	2,3	18,64	127,46256	3,2	-4,07
143	371,98949	2,8	18,17	127,55515	3,4	-3,95
144	373,10565	4,9	17,87	128,33424	2,1	-4,05
145	375,35589	2,3	18,58	128,78907	2,1	-4,10
146	375,45445	2,3	18,19	129,30491	2,8	-3,89
147	375,87813	2,3	18,06	129,48411	3,4	-3,73
148	376,46480	1,9	18,51	130,05413	2,3	-3,92
149	379,98864	2,6	18,15	130,90576	2,6	-3,87
150	384,32741	3,0	18,43	131,91013	4,1	-3,63
151	385,51099	4,5	18,36	132,50021	3,0	-3,46
152	387,00091	2,1	18,60	133,66843	3,2	-3,78
153	388,26512	3,0	18,36	134,03707	3,0	-3,41
154	404,96272	2,6	18,03	135,27397	3,0	-3,30
155	406,32251	2,6	18,53	136,11109	3,0	-3,51
156	408,41957	2,6	18,61	136,87952	2,1	-3,63
157	410,18171	3,0	18,32	137,61509	3,2	-3,05
158	412,22715	2,8	18,26	137,64197	2,3	-3,21
159	413,61808	3,6	18,13	139,55259	3,2	-3,69
160	414,43131	3,6	18,32	139,82523	1,9	-3,42
161	416,83600	2,6	18,42	140,58555	2,1	-3,61
162	419,08283	2,8	18,81	141,09371	2,6	-3,70
163	420,01552	4,1	18,82	141,10693	3,8	-3,68
164	420,60048	2,8	18,66	141,17605	3,4	-3,65
165	422,68901	3,4	18,58	142,51024	3,6	-3,68
166	426,27259	2,1	18,98	142,92795	3,0	-3,89
167	426,58832	2,8	19,29	143,26245	1,9	-3,55
168	427,44976	3,2	18,83	143,74075	2,8	-3,50
169	430,11173	2,8	18,44	143,91611	3,4	-3,89
170	430,38864	2,1	18,80	146,03835	4,1	-3,91
171	431,33627	2,6	18,93	146,37243	3,2	-4,08
172	436,28389	2,8	18,30	148,03515	3,0	-4,00
173	437,96752	3,2	18,57	148,04923	2,3	-3,89
174	439,60976	2,3	17,89	148,47291	2,1	-4,01
175	440,48144	2,3	18,06	148,99728	3,0	-3,98
176	441,77296	4,5	17,63	149,37275	2,8	-3,83
177	442,41168	2,8	17,85	149,61936	2,8	-4,18
178	445,50971	2,3	18,05	152,24080	2,6	-4,41
179	446,70907	3,2	17,91	153,62704	2,3	-4,70
180	448,20496	2,1	18,15	154,07291	1,7	-3,92
181	451,45701	2,3	18,42	155,47408	3,0	-4,12
182	452,58171	3,4	18,17	160,01552	3,0	-4,65
183	453,83227	2,8	18,39	160,77157	2,8	-4,64
184	454,73851	2,3	19,06	161,85275	2,1	-4,54
185	456,46523	2,6	18,42	163,10715	3,4	-4,58
186	460,71013	2,8	18,41	163,59995	2,6	-4,57
187	467,51376	3,2	18,29	164,50917	3,4	-4,44
188	467,70064	2,8	18,17	164,85477	2,3	-4,46
189	467,73179	2,6	18,13	165,72603	3,4	-4,37
190	469,11120	2,1	18,19	166,37243	2,3	-4,19
191	470,18811	3,4	18,22	168,10299	1,9	-4,34
192	471,58203	2,8	18,32	168,15035	2,6	-4,57
193	471,95835	3,0	18,23	168,94523	2,3	-3,92
194	485,16240	2,3	17,70	171,38149	3,2	-3,93
195	492,40592	2,3	17,97	173,30235	2,6	-4,04
196	492,80869	2,6	17,86	174,01957	2,6	-3,87
197	494,41339	3,0	18,07	175,42203	2,3	-4,04
198	497,05531	2,3	18,28	179,33413	3,0	-3,67
199	497,81776	2,6	18,29	180,21051	5,5	-4,18
200	497,94021	2,8	18,47	180,28261	2,6	-4,02
201	498,03408	2,1	18,29	180,67045	3,4	-4,09
202	499,21125	2,3	18,06	180,91451	4,3	-3,97
203	499,63707	2,6	18,16	181,24091	3,0	-4,14
204	504,29029	2,8	18,28	181,24560	2,8	-3,98
205	504,60176	2,6	18,77	181,66075	2,3	-3,84
206	505,64112	2,6	17,97	182,18640	2,3	-3,77
207	507,96389	2,3	18,46	183,08112	3,0	-3,87
208	508,88805	2,6	18,57	183,85808	3,2	-3,97
209	509,69872	2,1	18,51	184,23355	3,2	-3,90
210	509,85360	2,6	18,39	184,55611	3,0	-3,85
211	510,97573	3,0	18,21	185,06768	2,6	-3,61
212	513,46363	2,8	18,26	185,25627	3,4	-3,89
213	514,53883	2,3	18,07	185,41115	2,1	-3,95
214	514,57339	2,3	18,28	185,57328	3,4	-3,94
215	515,49712	2,6	17,85	185,79131	2,8	-3,95
216	518,83408	2,8	18,36	186,38779	1,9	-3,91
217	519,37595	2,3	18,22	186,75472	2,3	-4,25
218	521,30960	3,0	18,50	187,01968	3,2	-4,17
219	521,50288	2,3	18,31	189,17349	2,8	-4,05
220	526,42661	2,8	17,97	189,32837	3,6	-4,09
221	528,74256	2,8	17,76	189,70597	3,2	-3,90
222	529,71195	2,6	18,25	190,86736	2,6	-4,46
223	530,06395	3,0	18,04	191,46299	4,1	-3,93
224	530,53029	2,1	18,26	192,65467	2,3	-3,78
225	531,01627	3,4	18,33	193,43248	3,0	-4,15
226	534,82299	2,1	17,77	193,50843	3,0	-3,80
227	543,07216	3,2	18,11	193,91163	1,9	-4,06
228	546,30245	3,0	18,20	195,57435	2,3	-3,76
229	546,79355	2,3	18,35	197,77509	2,1	-4,13
230	551,00005	3,4	18,97	198,90619	3,6	-4,13
231	551,35291	2,3	18,90	199,19845	2,1	-4,14
232	551,66181	3,6	18,59	200,15120	2,8	-4,15
