DXEX v5
C:\Users\LDA-User\Desktop\MIS1_SS24.lda
11:12:42
11;0,00 mm;0,00 mm;100,00 mm
New Region
"Row#"	"Arrival Time [ms]"	"Transit Time [us]"	"Velocity U [m/s]"	"Arrival Time{2} [ms]"	"Transit Time{2} [us]"	"Velocity V (PDA){2} [m/s]"	
1	0,80955	3,2	18,18	0,15419	3,2	-3,80
2	3,09008	3,0	18,04	0,80955	3,0	-3,65
3	4,22288	2,1	18,56	1,03568	2,3	-3,61
4	6,28155	2,6	19,03	3,09008	3,0	-3,46
5	7,28464	2,6	18,55	4,42725	1,9	-3,37
6	8,24037	3,0	18,40	5,11333	1,9	-3,47
7	10,62672	4,3	18,61	5,48752	3,2	-3,64
8	13,45723	3,0	18,71	7,28464	2,6	-4,00
9	14,91941	2,3	17,84	7,32347	3,0	-4,13
10	16,55440	3,2	17,45	7,52144	2,3	-4,09
11	16,63120	2,6	17,43	8,23995	3,2	-4,03
12	19,57136	1,9	17,59	10,40059	2,3	-4,37
13	20,80485	3,2	17,81	11,34736	2,3	-4,27
14	23,25307	2,6	19,01	12,89360	3,8	-4,48
15	32,33083	2,1	18,62	14,70779	2,6	-4,77
16	33,96411	2,6	18,89	16,05435	3,0	-4,60
17	42,18000	2,8	20,46	16,55397	3,0	-4,56
18	44,43920	2,3	19,66	16,63077	2,6	-4,58
19	47,74245	2,6	19,50	17,58992	3,0	-3,95
20	49,13467	3,8	19,14	17,88517	2,8	-4,18
21	56,28987	3,4	17,29	19,56923	1,7	-2,89
22	56,87952	2,8	17,27	19,80048	3,0	-3,12
23	57,67824	2,8	17,54	20,70672	2,3	-3,10
24	61,66971	2,1	20,19	22,95952	2,1	-3,23
25	61,69744	2,1	20,53	23,25307	3,2	-3,55
26	62,01403	2,1	20,70	25,13040	3,0	-4,85
27	65,97093	3,2	20,67	28,20155	2,1	-3,77
28	68,78992	2,3	18,51	28,51941	2,6	-4,35
29	72,60859	2,3	16,98	29,70384	2,8	-3,45
30	74,18768	3,6	10,87	30,51408	2,6	-3,14
31	76,98533	3,4	15,50	30,71163	2,3	-3,05
32	84,89104	3,4	16,78	30,84091	3,8	-3,27
33	91,57947	3,2	18,49	31,90416	3,2	-3,09
34	92,70245	2,6	22,01	32,60859	2,8	-3,15
35	100,14864	4,1	19,06	33,61595	4,1	-3,27
36	102,84347	2,6	18,21	34,48805	3,0	-3,26
37	105,06341	2,6	18,09	36,00315	4,3	-3,77
38	105,11632	2,1	18,16	36,98363	2,1	-3,67
39	106,72443	3,0	18,34	37,32923	2,6	-3,72
40	106,89509	2,3	18,00	37,95771	3,6	-3,70
41	109,57541	4,3	16,62	38,85712	3,0	-3,86
42	111,19973	2,3	18,45	40,07013	2,8	-3,54
43	112,76048	3,0	16,10	40,11536	2,1	-3,52
44	113,28187	2,8	18,08	40,79973	2,1	-3,48
45	116,88891	3,8	16,91	41,45808	1,9	-3,40
46	117,54085	2,6	17,21	42,50427	3,0	-3,89
47	120,42512	2,3	17,30	43,42800	1,7	-3,73
48	124,33851	2,6	18,03	43,65712	2,1	-3,89
49	128,09573	2,1	18,29	44,01040	3,8	-4,00
50	130,66640	3,4	19,19	44,18619	2,6	-3,91
51	131,91909	1,9	19,10	44,46395	2,6	-3,97
52	135,02267	2,8	17,64	45,92955	1,9	-4,16
53	138,19280	2,1	18,43	46,73936	2,3	-3,06
54	138,20304	3,2	18,82	47,12379	2,8	-3,58
55	140,10427	2,6	17,58	47,74160	2,3	-3,72
56	143,33200	3,6	18,62	47,90885	1,9	-2,55
57	143,70661	3,6	18,68	49,86640	3,8	-10,38
58	144,18576	2,1	19,53	50,70053	2,3	-4,89
59	144,34192	3,4	19,08	50,76325	2,3	-5,20
60	144,86203	2,6	19,40	51,47749	3,0	-4,63
61	148,01936	2,6	17,27	51,68827	3,4	-4,73
62	150,09509	2,3	17,01	52,23568	2,6	-4,39
63	151,53339	3,0	16,65	55,45275	3,4	-3,50
64	157,49435	4,1	17,65	55,47963	3,0	-3,45
65	159,56795	2,3	18,90	56,17509	2,1	-3,12
66	161,49008	2,3	18,47	56,28944	2,8	-3,16
67	162,89723	3,2	18,27	56,47973	1,7	-3,14
68	168,90512	2,6	18,81	56,87995	2,3	-2,62
69	169,86811	2,6	19,27	56,93968	2,6	-2,94
70	173,86000	2,6	20,22	57,55835	2,8	-2,40
71	173,87664	2,8	20,05	58,85200	1,9	-2,17
72	182,04560	3,0	16,79	61,66928	3,4	-2,43
73	185,30576	3,2	17,91	61,69744	2,3	-2,37
74	186,55845	3,0	18,17	62,59899	2,6	-2,46
75	192,22629	2,6	15,80	64,13200	4,5	-3,90
76	193,43675	3,6	15,29	66,68005	3,0	-4,73
77	197,55024	3,4	17,52	67,84443	2,8	-6,41
78	200,42512	3,8	17,88	69,69445	2,8	-5,75
79	204,04496	3,2	17,49	71,51461	3,6	-5,57
80	207,97883	2,8	17,58	71,79920	3,0	-5,39
81	208,04965	3,6	17,33	72,60816	3,6	-4,99
82	209,37445	2,8	17,60	74,18683	5,5	-7,92
83	210,45093	2,1	18,25	74,42405	2,1	-7,28
84	210,52944	2,8	18,12	76,22971	3,6	-7,08
85	210,90789	2,6	18,23	76,44432	3,0	-6,30
86	215,73264	2,6	18,72	76,98491	2,3	-5,18
87	218,11088	2,3	18,84	77,25157	4,1	-5,17
88	218,68219	2,8	18,72	77,52677	3,8	-4,84
89	220,14651	2,8	18,82	77,97093	3,0	-4,69
90	224,93712	2,3	18,24	78,58021	2,6	-4,84
91	226,32165	4,3	13,31	78,84603	2,8	-4,57
92	227,54875	4,1	16,78	83,74629	2,3	-4,10
93	235,11013	3,2	16,08	84,21563	3,0	-3,96
94	239,80731	2,8	16,31	86,20133	3,0	-3,59
95	240,31077	2,6	16,55	86,43771	3,2	-3,44
96	240,88720	2,6	16,50	91,57989	3,2	-3,18
97	247,09691	3,2	17,88	93,07365	3,0	-4,47
98	248,01808	1,9	19,26	93,75461	3,0	-4,27
99	248,84923	2,6	18,39	94,18427	2,3	-4,05
100	250,58533	3,4	18,78	94,32464	3,2	-4,14
101	262,28624	3,2	18,23	95,68485	3,0	-3,95
102	270,97915	2,3	17,10	96,46693	4,3	-3,99
103	271,14725	2,3	16,92	98,52603	2,8	-3,71
104	271,35291	2,8	17,31	99,34309	3,8	-3,77
105	274,25936	2,3	17,99	99,97755	2,3	-4,22
106	277,94363	3,0	18,40	100,81040	3,8	-4,34
107	280,19301	2,3	18,34	101,41200	3,2	-4,20
108	280,56123	3,4	18,13	102,12240	3,0	-4,16
109	280,82832	3,0	18,65	102,97317	3,6	-4,21
110	281,13296	3,2	18,53	104,05264	2,1	-4,13
111	282,62757	2,6	18,96	104,85861	3,2	-4,16
112	284,14395	2,6	19,01	105,08773	3,0	-4,20
113	284,75536	2,3	19,00	105,09925	2,3	-3,96
114	284,87056	3,8	18,57	105,42693	2,3	-3,88
115	287,00688	3,0	18,91	105,57200	3,2	-3,88
116	291,61744	2,1	19,44	106,75045	2,8	-3,46
117	291,73733	2,6	19,04	109,91803	2,3	0,92
118	291,75141	2,8	19,08	113,28144	3,0	-7,67
119	293,84165	2,8	18,32	113,45979	3,0	-5,32
120	295,52656	2,1	18,47	114,04688	3,0	-4,98
121	295,98523	2,8	18,44	114,90277	3,2	-3,88
122	296,72421	2,6	18,49	115,49115	3,6	-3,61
123	306,53840	2,3	18,09	117,54043	4,1	-3,15
124	306,97061	2,6	18,09	119,49968	2,8	-2,86
125	307,14000	3,2	17,75	119,60293	3,4	-2,61
126	307,69168	3,6	17,44	120,42555	2,6	-2,83
127	308,05307	2,8	17,60	121,21573	2,3	-2,58
128	310,14885	2,3	17,80	121,97221	4,5	-2,42
129	311,26715	2,6	16,58	122,75515	2,6	-2,31
130	311,97115	2,8	16,75	124,52197	3,0	-2,28
131	314,12197	3,2	17,10	125,43077	1,9	-2,32
132	319,26331	3,2	17,08	126,84688	2,1	-2,74
133	320,36581	3,2	16,86	127,24624	3,4	-2,54
134	321,44357	3,2	17,01	128,09573	4,5	-2,58
135	321,55963	3,8	17,36	129,33733	2,3	-1,92
136	322,26192	3,8	17,12	131,91909	3,2	-3,53
137	330,21029	3,2	18,22	134,54309	3,6	-1,08
138	330,83451	3,0	18,29	135,02309	2,6	-2,52
139	331,19888	2,6	18,46	136,67557	3,2	-5,00
140	334,46544	2,8	19,48	137,16069	3,2	-5,59
141	335,78256	2,3	21,01	137,87195	3,2	-5,14
142	339,17200	2,1	17,53	137,89584	3,2	-5,32
143	339,83888	3,4	14,63	138,20261	2,8	-5,16
144	340,29328	3,2	13,95	138,44709	2,6	-5,13
145	340,70075	2,8	16,66	138,79483	3,2	-3,36
146	341,39920	3,8	14,46	139,06747	3,2	-5,17
147	347,31579	3,0	15,20	139,36187	2,6	-5,70
148	355,44165	2,6	20,25	140,48229	2,8	-4,79
149	356,87184	2,8	18,29	142,14459	3,6	-3,94
150	357,87877	3,6	18,06	142,61648	2,8	-4,17
151	359,03717	3,0	18,60	143,42672	2,8	-4,07
152	360,23568	2,8	16,80	144,06885	2,3	-3,30
153	362,82000	2,8	17,88	147,16773	2,3	-4,29
154	367,43013	3,6	18,20	147,97328	3,6	-4,44
155	367,73392	2,3	18,34	148,01893	2,1	-4,41
156	369,38299	2,6	18,40	148,25829	3,4	-4,48
157	369,65264	2,6	18,36	148,93371	2,6	-4,07
158	370,69499	2,3	18,99	149,92272	3,6	-3,79
159	371,82523	3,0	18,70	150,26661	3,2	-3,73
160	372,89659	3,4	18,65	151,53339	3,4	-3,35
161	374,72400	2,6	18,39	151,97584	2,3	-3,40
162	377,81947	3,2	17,28	153,09755	4,5	-3,24
163	380,36581	3,2	17,73	157,77168	3,8	-2,93
164	382,02939	2,8	17,75	160,26000	2,1	-3,34
165	382,88784	3,0	17,63	161,80539	2,6	-4,18
166	390,17488	2,8	18,72	162,43216	3,4	-3,90
167	391,25435	2,3	18,61	163,14171	2,8	-3,63
168	392,22373	3,0	18,40	163,41477	2,8	-3,24
169	392,67387	2,3	18,25	166,53840	3,6	-2,64
170	392,70459	3,0	18,35	166,86779	2,8	-2,88
171	392,96571	2,3	18,76	167,66139	2,8	-2,54
172	393,78832	2,3	18,52	167,75611	3,2	-2,37
173	395,23259	3,2	18,30	169,02245	2,6	-2,30
174	397,16411	2,6	18,79	170,80635	3,2	-2,07
175	397,22341	2,6	18,61	171,48645	2,3	-2,20
176	405,59760	2,6	18,80	171,86619	2,6	-2,51
177	406,72528	2,8	19,18	172,67301	3,6	-3,53
178	407,38917	2,3	19,40	173,10779	2,6	-2,73
179	408,48955	3,2	20,62	173,46320	2,8	-3,48
180	411,12336	2,6	19,02	175,74629	4,3	-6,28
181	414,10491	3,0	18,34	176,21307	2,1	-6,10
182	414,13349	2,1	18,68	177,58139	2,8	-4,10
183	414,45989	2,8	18,55	177,62491	3,0	-3,81
184	416,28517	2,3	17,48	180,38672	2,3	-5,66
185	417,53232	2,8	17,04	182,04475	3,6	-6,98
186	417,59205	2,8	17,03	182,24784	3,4	-6,34
187	421,76741	2,8	17,30	182,54395	2,8	-5,65
188	421,80325	2,3	17,27	182,66256	1,9	-5,79
189	425,18373	2,3	18,17	183,98053	2,1	-4,59
190	425,91419	2,8	18,16	185,30576	2,8	-4,94
191	426,42960	2,3	18,70	186,67835	1,9	-4,90
192	428,00272	3,2	13,67	188,24549	4,1	-8,92
193	428,57957	2,8	14,77	190,61136	2,8	-7,57
194	429,21360	2,6	16,76	191,54576	2,1	-7,73
195	429,84251	3,4	17,23	192,24976	3,8	-7,67
196	431,46469	4,1	16,01	192,36368	3,2	-7,41
197	435,09819	3,2	15,72	194,37712	2,8	-4,90
198	435,38619	3,2	15,96	194,80123	3,6	-4,49
199	444,64315	3,0	18,12	194,99792	3,4	-4,29
200	446,97616	3,0	18,81	196,06544	3,6	-3,95
201	448,61840	3,6	18,54	196,50235	3,2	-3,69
202	449,31899	2,3	18,21	196,95205	3,0	-3,48
203	454,25637	3,6	19,33	198,04944	2,3	-3,62
204	454,62800	2,6	19,78	198,14373	3,2	-3,57
205	455,99632	3,4	20,51	201,28400	3,2	-3,69
206	458,05115	2,3	20,55	202,16677	2,3	-3,97
207	458,39419	2,8	20,18	204,03813	2,6	-3,95
208	458,43728	2,3	20,37	204,04411	3,2	-4,05
209	458,56613	2,6	19,88	206,64507	2,6	-3,62
210	459,66651	2,3	19,76	207,97925	3,4	-3,47
211	460,14693	2,6	19,92	208,04965	2,6	-3,34
212	460,99387	2,6	18,88	208,17040	2,3	-3,60
213	462,63141	2,6	18,26	209,17648	2,8	-3,12
214	462,72485	2,3	18,45	209,37403	3,4	-3,27
215	467,48176	2,6	17,86	209,63941	3,4	-3,14
216	469,41157	2,6	17,08	210,52901	2,8	-2,79
217	469,71579	2,6	17,09	210,90704	3,8	-2,67
218	470,05840	3,0	17,04	215,73221	2,8	-3,77
219	473,52208	3,0	17,58	215,79024	3,4	-3,92
