DXEX v5
C:\Users\LDA-User\Desktop\MIS1_SS24.lda
11:11:23
6;0,00 mm;0,00 mm;-25,00 mm
New Region
"Row#"	"Arrival Time [ms]"	"Transit Time [us]"	"Velocity U [m/s]"	"Arrival Time{2} [ms]"	"Transit Time{2} [us]"	"Velocity V (PDA){2} [m/s]"	
1	0,70587	2,3	18,83	0,72592	2,8	-4,37
2	1,64624	2,6	18,33	0,83984	1,7	-4,15
3	4,58683	2,8	18,14	1,39877	3,0	-4,07
4	4,96699	2,6	18,74	3,15664	3,8	-4,06
5	5,86427	2,8	18,71	5,81051	3,2	-4,02
6	9,23280	2,8	18,57	6,05541	3,0	-4,05
7	18,31099	2,6	18,11	6,31568	3,0	-4,25
8	24,60645	3,6	17,60	8,04027	1,7	-4,01
9	24,84667	2,6	18,18	8,71867	3,6	-4,26
10	28,25360	2,6	17,79	10,41467	3,6	-4,26
11	29,02928	3,4	17,71	12,99301	3,4	-4,44
12	35,84229	2,6	18,07	13,91845	3,0	-4,25
13	36,56933	2,8	17,95	15,09819	3,0	-4,46
14	36,99813	2,3	18,03	15,73776	2,8	-4,28
15	38,46203	2,3	18,21	16,24848	2,6	-4,36
16	39,97541	2,1	17,87	19,17456	3,0	-4,52
17	45,50800	3,2	17,95	19,90544	4,3	-4,30
18	46,56059	3,2	18,22	20,47461	1,7	-4,36
19	48,22203	2,8	18,19	20,76347	2,8	-4,22
20	50,96720	2,6	18,51	21,33307	4,3	-4,32
21	52,99131	2,8	18,27	21,52891	3,6	-4,32
22	53,40645	3,0	18,00	23,21552	3,4	-4,31
23	58,48208	3,8	18,54	23,37339	2,3	-4,40
24	59,90331	3,4	18,80	26,73680	1,7	-4,15
25	67,07429	2,1	18,64	27,13573	2,6	-4,06
26	69,19141	3,2	19,06	27,36059	3,2	-3,83
27	69,72176	2,6	19,58	29,02843	4,1	-4,19
28	69,98715	3,8	19,00	29,67909	2,6	-4,06
29	73,75675	2,6	19,08	36,02875	1,7	-3,80
30	74,14203	2,3	19,08	36,26341	2,3	-3,79
31	77,02416	3,6	19,34	36,77840	2,8	-3,69
32	77,33989	2,8	19,28	37,22384	2,3	-3,78
33	79,16219	2,8	19,20	37,38853	2,6	-3,58
34	81,82203	2,8	19,00	37,84976	2,6	-3,77
35	82,84560	2,6	18,76	38,24443	3,0	-3,69
36	85,53744	2,3	18,14	38,26448	1,9	-3,57
37	85,54939	3,0	18,63	38,46245	3,0	-3,74
38	85,70085	3,2	18,33	39,23045	2,6	-3,66
39	86,60581	3,0	18,59	43,07600	2,8	-3,96
40	89,24176	3,2	18,06	43,48304	2,6	-3,79
41	90,38224	2,8	18,06	43,49797	2,1	-3,77
42	90,99408	2,8	17,98	43,80304	3,2	-3,89
43	96,90299	2,8	17,48	43,91184	3,2	-4,06
44	100,36411	2,3	17,90	43,94171	3,6	-3,81
45	100,48741	2,8	17,69	43,99291	2,3	-3,89
46	103,65371	3,0	17,72	45,50800	2,3	-3,78
47	110,83579	2,6	18,20	46,56101	2,8	-4,10
48	111,05936	2,8	18,00	47,13147	2,8	-3,99
49	112,83771	2,3	17,97	47,44848	2,3	-3,98
50	114,74235	2,6	18,19	48,10939	2,3	-3,96
51	118,98555	2,6	18,71	48,80741	2,1	-4,05
52	122,48848	2,3	18,58	50,24229	3,2	-4,17
53	128,26768	2,1	18,91	51,43909	3,6	-3,97
54	129,75333	2,8	18,93	51,93189	2,1	-4,27
55	129,81904	3,4	18,65	53,04592	3,8	-4,07
56	131,83803	2,8	19,25	53,89883	2,6	-3,83
57	133,06981	3,4	18,51	54,43728	1,7	-4,20
58	135,49243	3,0	18,85	54,63312	2,6	-3,93
59	135,56667	2,8	18,60	54,64848	2,3	-3,75
60	139,83461	2,3	18,22	55,27952	3,2	-4,01
61	141,80283	2,6	18,26	55,53381	3,0	-4,07
62	143,32176	2,3	18,47	56,45328	2,1	-4,10
63	143,69125	3,0	18,11	57,08091	2,1	-4,18
64	143,73563	2,6	18,23	58,08443	2,3	-3,99
65	148,68837	2,6	17,61	58,18085	3,4	-4,02
66	148,98405	2,1	17,94	59,16091	2,1	-4,02
67	151,31024	2,8	17,60	59,90288	3,0	-4,12
68	151,39643	2,6	17,73	60,11195	2,6	-4,15
69	152,21435	2,6	17,77	60,24208	3,4	-4,11
70	155,81968	3,8	18,05	60,31120	3,2	-4,21
71	156,62864	3,0	17,72	62,38352	3,0	-3,79
72	156,84795	2,8	17,67	63,65328	3,8	-4,07
73	158,50896	3,8	18,02	63,82480	2,8	-4,39
74	160,38843	3,8	17,69	65,59845	2,6	-4,00
75	161,52080	2,8	17,91	66,28453	3,0	-4,20
76	163,08453	2,3	18,25	66,31269	1,9	-4,11
77	166,39376	3,0	18,60	66,54907	2,3	-4,12
78	169,48453	2,8	18,60	67,07387	2,6	-4,05
79	169,79387	2,8	18,00	67,75397	2,6	-4,19
80	170,16464	2,6	18,22	68,27920	2,3	-4,14
81	173,73883	2,6	18,36	69,19141	2,1	-4,34
82	174,19664	2,6	18,48	69,26949	2,1	-4,25
83	174,64507	2,6	18,05	70,88443	3,4	-4,18
84	177,03312	2,6	18,20	72,60859	1,9	-6,40
85	177,28613	2,8	18,03	72,67429	2,6	-4,18
86	178,99408	3,6	18,36	73,05403	4,5	-4,28
87	180,47504	3,0	17,90	73,75632	2,3	-4,13
88	181,29211	3,8	18,14	73,81819	2,6	-4,11
89	182,63269	2,6	17,94	74,14245	2,1	-4,19
90	183,18693	2,6	18,27	74,56144	1,9	-4,36
91	185,50800	2,6	18,44	74,79995	2,8	-4,01
92	192,47760	2,6	18,52	76,74085	3,2	-4,34
93	197,07365	2,8	19,14	81,39792	2,1	-4,63
94	197,66459	2,3	18,73	83,83888	2,3	-4,46
95	199,27653	2,3	18,95	86,62544	2,6	-4,25
96	202,76411	2,1	18,96	87,73435	2,8	-4,48
97	217,40133	3,0	18,21	89,54597	3,2	-4,60
98	218,25083	4,1	17,83	89,84464	3,8	-4,50
99	219,01285	2,6	17,96	90,38139	3,6	-4,45
100	219,31408	2,3	18,20	91,02437	3,2	-4,41
101	222,77819	2,3	18,66	91,58928	3,8	-4,50
102	223,04613	2,8	18,51	92,69477	2,6	-4,47
103	229,94533	2,1	18,72	92,87611	2,6	-4,66
104	230,58363	2,1	19,08	93,79301	3,2	-4,57
105	230,93648	3,4	18,41	94,06736	2,8	-4,66
106	231,50139	2,6	18,67	94,55547	2,8	-4,40
107	232,13797	2,1	18,88	98,33403	2,6	-4,10
108	233,14491	2,1	18,89	100,20795	2,8	-4,08
109	236,62309	3,0	18,52	100,86117	3,0	-3,88
110	239,55301	2,8	18,46	101,01392	2,8	-4,00
111	242,23163	2,3	18,55	101,95941	4,3	-4,06
112	244,23781	3,2	18,57	102,20773	2,8	-4,05
113	249,74693	2,6	18,57	103,86661	3,4	-4,13
114	254,44283	3,0	18,22	104,94779	3,2	-4,08
115	254,77691	3,0	18,21	105,23493	3,0	-3,95
116	255,54875	2,6	18,23	105,79856	2,1	-4,12
117	255,80432	3,4	18,27	106,65829	3,0	-3,97
118	256,62864	2,3	18,12	106,71589	3,0	-3,86
119	256,95675	3,0	17,97	106,98939	2,6	-4,03
120	258,47824	4,1	17,92	106,99749	3,2	-4,13
121	267,21125	2,6	18,08	111,07344	3,0	-3,87
122	268,82960	3,6	18,26	112,42469	2,8	-3,85
123	271,78981	2,8	18,01	112,72976	3,8	-3,96
124	276,26171	3,0	18,13	112,83728	3,2	-3,97
125	276,43067	2,8	18,36	112,92688	3,0	-3,96
126	278,55077	3,0	18,12	113,76869	3,2	-4,00
127	279,99931	2,3	18,25	114,76624	4,1	-3,92
128	281,85147	3,2	18,31	115,71088	3,0	-4,01
129	281,99099	2,3	18,62	118,04304	2,1	-4,15
130	282,90149	2,8	18,45	119,15877	2,6	-4,21
131	283,94000	2,6	18,35	119,34651	2,3	-3,95
132	286,52432	3,0	17,97	120,59152	3,6	-3,94
133	289,24816	2,3	17,84	121,91717	2,8	-3,99
134	297,29424	3,0	18,42	122,94459	2,8	-4,23
