DXEX v5
C:\Users\LDA-User\Desktop\MIS1_SS24.lda
11:21:21
1;0,00 mm;0,00 mm;-150,00 mm
New Region
"Row#"	"Arrival Time [ms]"	"Transit Time [us]"	"Velocity U [m/s]"	"Arrival Time{2} [ms]"	"Transit Time{2} [us]"	"Velocity V (PDA){2} [m/s]"	
1	0,25957	2,6	19,20	0,19429	2,6	-4,00
2	0,37648	2,6	19,59	0,25957	3,2	-3,72
3	2,07333	2,1	19,65	1,65947	2,3	-4,56
4	2,18981	3,2	19,10	2,07291	2,8	-4,59
5	3,29915	2,6	19,43	5,58437	2,8	-3,77
6	9,55195	3,6	15,45	7,50224	3,2	-5,87
7	10,09083	4,1	11,10	8,85349	2,3	-6,32
8	10,30715	2,8	13,76	9,62021	3,2	-0,92
9	10,63099	4,3	12,98	10,08997	3,2	-7,89
10	10,86309	3,4	12,58	10,30672	2,6	-5,08
11	14,20133	2,6	16,55	13,89669	2,1	-2,91
12	15,51163	3,0	17,11	13,94491	3,6	-2,91
13	16,12176	2,8	17,50	14,20133	2,6	-2,82
14	20,16443	4,5	9,26	20,16315	3,2	-7,31
15	20,45371	3,8	9,83	21,43291	5,8	-6,33
16	21,43333	4,5	11,70	21,62619	3,6	-6,53
17	22,88059	2,1	16,16	27,99589	3,0	-3,17
18	23,87301	3,4	16,95	30,86139	3,2	-0,42
19	25,27205	1,9	19,65	31,87344	1,9	-8,54
20	25,72389	3,2	19,52	32,27963	2,6	-10,01
21	27,82181	3,4	17,97	32,46949	2,8	-9,89
22	29,65008	3,0	20,86	37,93637	3,6	-3,68
23	30,81829	4,1	18,32	40,06203	3,4	-1,40
24	32,47035	3,0	15,70	40,34192	3,8	-1,31
25	32,70757	2,3	16,25	44,40165	1,9	-1,05
26	32,91152	2,6	16,45	48,06672	3,0	-2,75
27	34,73851	2,8	15,75	50,03963	2,3	-3,34
28	35,16475	3,2	15,89	51,41520	2,1	-3,81
29	37,24005	3,6	13,91	52,43280	2,3	-3,35
30	37,67269	3,0	13,26	53,24389	2,8	-3,05
31	41,32027	2,6	16,30	53,58181	4,9	-3,14
32	42,40784	2,8	16,92	54,05669	2,1	-2,75
33	43,72880	3,8	16,80	54,14075	3,4	-2,92
34	45,01136	2,1	17,90	54,49147	2,8	-2,65
35	47,73307	2,3	20,35	55,98011	3,2	-2,40
36	48,06672	1,9	20,61	60,11451	3,2	-0,99
37	49,73115	2,8	19,95	60,13541	3,2	-0,89
38	49,84037	2,1	19,67	60,67131	2,8	-0,82
39	50,59899	2,1	19,28	63,61659	2,3	-0,28
40	52,62821	2,8	17,74	66,01147	1,9	-0,34
41	53,58139	3,6	16,88	66,33275	2,3	-0,98
42	53,61509	2,8	17,11	68,00869	2,3	-1,43
43	53,78832	3,2	16,82	68,55184	2,8	-1,97
44	54,17275	3,8	16,40	69,97520	3,2	-2,83
45	56,19429	3,0	16,04	71,77445	2,6	-5,55
46	59,52613	2,6	17,48	71,78256	2,3	-7,39
47	59,91568	2,6	17,51	76,02491	3,4	-3,10
48	60,13584	2,3	17,82	76,29456	4,1	-2,47
49	60,67173	2,6	18,09	76,37776	2,8	-2,50
50	60,80699	2,6	18,16	76,55995	2,3	-2,19
51	61,20763	2,3	18,01	77,30576	2,6	-1,45
52	61,22853	2,8	18,31	78,36091	2,6	-0,70
53	63,13957	1,9	19,85	79,38960	1,9	-0,15
54	63,75269	3,0	19,80	80,00272	2,8	0,35
55	64,55397	2,3	20,14	83,97456	3,4	1,23
56	66,87163	3,0	21,76	84,92347	2,8	1,41
57	67,05125	2,3	21,53	89,80795	2,6	-4,11
58	69,92400	3,6	21,44	92,12773	2,3	-6,58
59	70,20048	2,1	22,05	95,58117	3,8	-0,81
60	73,09541	2,8	18,42	95,86747	2,6	-0,63
61	74,36261	3,0	16,29	96,04667	2,1	-0,49
62	74,93435	1,9	20,51	98,59259	1,9	-1,26
63	76,56037	3,2	15,08	98,71845	2,8	-1,22
64	80,00229	2,8	16,56	99,53424	2,6	-0,40
65	80,03941	3,6	16,52	101,11547	3,2	-0,23
66	84,92347	3,2	19,61	102,09424	2,1	-0,15
67	88,32741	2,1	22,43	103,21893	2,3	-0,42
68	89,50416	2,8	19,83	103,85680	2,8	-0,22
69	90,85925	2,6	19,21	103,90843	1,9	-1,05
70	90,94416	2,1	18,31	104,17211	3,2	-0,85
71	91,22789	2,6	17,27	106,46416	3,0	-2,78
72	95,71003	3,2	16,00	106,97957	3,8	-3,19
73	97,77765	2,8	16,40	111,15621	1,9	-5,10
74	98,59344	3,8	15,39	114,97829	2,6	-2,51
75	98,82469	3,8	15,39	116,87056	2,6	-1,74
76	100,43792	2,8	16,18	119,65925	2,1	-0,92
77	100,97381	4,3	16,93	122,46544	2,3	-1,74
78	101,59077	3,0	17,23	127,68613	3,0	-1,26
79	102,35792	2,1	18,20	128,42341	2,6	-0,68
80	103,11696	2,8	18,84	129,08773	2,3	-0,43
81	104,17253	3,2	20,29	129,82629	3,2	-0,15
82	104,77115	2,8	21,35	130,33744	2,3	-0,37
83	106,46459	2,6	21,55	130,90149	2,6	0,17
84	106,61093	2,3	22,06	131,12123	2,6	0,06
85	108,90469	2,6	19,06	132,73573	2,3	0,62
86	109,38640	3,2	18,49	133,43376	2,3	0,50
87	109,95643	2,6	18,34	145,81520	3,4	-1,77
88	110,75515	2,8	17,76	146,37968	3,0	-1,61
89	114,70736	2,6	17,20	146,49445	2,8	-1,45
90	115,42416	3,0	17,46	148,90853	2,8	-1,60
91	120,58171	2,6	19,88	149,46875	2,6	-1,80
92	123,82224	2,1	19,76	149,78960	2,8	-2,20
93	124,33040	2,6	19,27	150,75003	3,0	-2,72
94	125,32795	2,1	18,43	152,24037	2,8	-4,43
95	127,66736	4,3	17,60	153,00283	3,2	-3,22
96	130,90149	3,6	17,73	153,27077	3,2	-3,44
97	132,29627	3,2	17,98	153,39067	2,6	-3,30
98	132,68197	2,8	18,02	153,61083	2,1	-3,32
99	136,27664	3,2	19,83	153,88944	3,4	-3,60
100	137,01008	2,8	19,24	154,94032	2,6	-3,16
101	139,01883	3,0	17,70	159,97968	2,3	-3,52
102	140,22117	2,8	16,87	161,08005	3,4	-2,44
103	142,24315	3,2	11,73	162,19451	2,3	-1,65
104	145,07195	2,6	15,18	162,67280	3,6	-1,58
105	146,43515	3,4	16,04	164,82448	3,0	-1,50
106	146,49403	2,3	16,43	166,70096	2,3	-1,42
107	147,51333	2,8	17,32	173,06725	2,6	-0,54
108	149,54896	2,8	18,17	173,35611	3,6	-0,41
109	150,60155	2,1	18,87	176,29755	1,9	-0,71
110	150,82469	2,1	18,86	180,63931	2,1	-1,52
111	151,66309	3,0	18,70	182,32805	1,7	-1,76
112	152,23355	2,3	18,04	183,14768	3,0	-1,64
113	152,24037	3,2	17,98	186,03365	2,1	-1,33
114	153,27077	3,2	17,73	186,08997	2,1	-1,34
115	153,88987	2,8	17,67	187,56923	2,6	-1,51
116	155,45701	3,2	17,85	188,60645	2,8	-1,52
117	155,50992	2,1	18,19	189,17307	2,6	-1,17
118	156,03600	2,8	18,05	189,47899	2,1	-1,43
119	156,04411	3,0	17,89	196,46352	2,8	-1,63
120	158,60624	2,6	17,69	196,86501	2,3	-1,25
121	160,46949	4,5	16,81	199,21552	1,7	-0,85
122	161,08048	3,0	17,41	199,58032	1,9	-0,66
123	162,98171	3,2	18,76	199,95280	2,8	-0,75
124	172,32400	2,6	17,94	203,72752	3,2	-1,05
125	174,29947	2,8	18,40	204,03003	2,6	-1,00
126	179,37125	3,4	18,09	206,09467	2,1	-1,06
127	180,25744	3,4	17,88	206,30203	3,4	-1,22
128	183,03205	2,8	17,99	207,99205	3,0	-1,25
129	186,08997	2,6	17,95	210,06096	2,1	-1,27
130	186,16379	3,0	18,03	218,46075	2,8	-1,26
131	186,50085	2,8	18,34	220,64272	1,9	-1,47
132	189,50373	2,8	18,64	221,71877	2,6	-1,87
133	190,55589	2,1	18,94	223,92037	2,1	-1,81
134	190,82299	2,1	18,64	225,36123	3,0	-1,73
135	191,49883	2,8	19,30	227,64731	2,8	-1,66
136	191,52016	2,3	18,83	227,90885	2,1	-1,54
137	192,48869	3,0	19,16	230,51792	2,8	-1,47
138	196,91621	2,8	19,07	230,73296	2,3	-1,37
139	197,53360	2,6	18,72	232,38544	2,1	-0,97
140	197,53915	3,0	18,93	236,51984	2,1	-0,55
141	198,41125	2,3	18,66	237,16368	2,8	-0,50
142	198,61563	4,3	18,88	239,05936	2,1	-0,79
143	198,71717	3,0	19,00	245,05488	2,6	-1,34
144	199,27141	2,8	19,38	248,23696	1,9	-1,49
145	204,02960	4,1	18,33	253,05317	2,6	-1,42
146	204,65296	3,0	18,23	253,12315	2,6	-1,56
147	206,16891	3,8	18,18	254,65531	3,8	-1,32
148	206,23632	2,6	18,50	259,21253	3,8	-1,47
149	207,59653	2,6	18,06	259,87472	2,6	-1,54
150	208,14693	2,8	18,22	260,46480	2,6	-1,49
151	208,80144	3,4	18,11	266,75003	3,2	-1,77
152	208,87056	2,6	18,29	268,18064	4,1	-1,73
153	210,39291	3,2	17,93	272,77669	2,3	-2,06
154	211,34608	2,3	18,26	272,96315	2,3	-1,85
155	211,39429	2,3	17,62	275,06235	1,9	-2,34
156	211,67504	2,8	18,15	281,99056	2,6	-3,14
157	214,00165	2,6	17,81	282,69925	3,0	-3,20
158	214,24315	3,2	18,11	284,95248	1,9	-3,06
159	214,33317	3,4	18,04	287,07003	2,1	-3,06
160	216,15035	2,8	18,33	287,90416	3,2	-2,53
161	216,94864	2,8	18,48	288,65083	2,6	-2,55
162	220,07952	2,8	18,53	296,63931	2,8	-1,75
163	223,70405	4,1	18,57	302,14160	3,4	-2,12
164	225,36080	2,6	18,94	303,09691	2,3	-2,02
165	226,74747	2,6	19,70	305,28144	2,3	-2,14
166	228,62267	2,8	19,71	306,34555	3,6	-2,21
167	228,97680	2,1	19,75	310,05029	3,6	-2,50
168	229,91547	2,3	19,80	314,47056	3,2	-2,45
169	230,34299	2,3	19,80	316,85520	1,9	-2,19
170	230,51792	2,8	19,82	318,74875	1,7	4,47
171	232,18747	3,0	20,06	319,52485	3,0	-2,11
172	234,00720	2,6	20,17	321,44485	2,6	-2,52
173	234,21627	2,3	20,08	321,58779	2,6	-2,39
174	236,69648	3,0	19,42	323,84144	2,6	-2,66
175	236,92176	2,3	19,49	329,39920	2,6	-2,87
176	237,43931	3,0	19,37	329,44741	3,0	-2,68
177	238,35152	3,0	19,10	331,13019	2,3	-3,03
178	239,05979	2,3	19,43	333,77467	2,6	-2,78
179	240,36240	2,3	18,87	335,29701	2,3	-2,74
180	241,54512	2,1	18,82	335,36101	2,6	-2,74
181	241,75803	2,6	18,83	338,79227	2,3	-3,00
182	243,11525	3,4	18,95	340,23056	3,0	-3,10
183	243,14384	2,1	19,42	340,55440	2,6	-3,19
184	244,41872	3,0	19,11	345,63984	1,9	-3,16
185	245,05531	3,0	19,00	346,09339	2,6	-3,06
186	247,87088	3,2	19,03	347,08795	2,3	-3,30
187	248,16400	3,2	18,83	350,36133	2,3	-2,92
188	248,23696	4,1	18,75	351,70235	2,3	-2,82
189	248,58640	4,1	18,79	354,88443	3,2	-2,81
190	250,59387	2,6	18,99	356,27749	3,0	-2,70
191	252,90128	2,6	19,39	357,07152	2,8	-2,82
192	253,05317	2,8	18,72	357,41840	2,6	-2,35
193	253,12315	2,6	18,71	357,43077	2,1	-2,54
194	254,11344	2,3	18,48	357,54939	1,9	-2,55
195	254,65531	3,0	18,55	357,61083	3,0	-2,54
196	255,22917	2,8	18,60	358,87845	2,8	-2,76
197	255,87429	2,8	18,57	359,55984	2,6	-2,65
198	257,48709	3,2	18,41	361,26352	3,4	-2,60
199	257,53701	2,1	18,69	361,91248	2,1	-2,30
200	258,70907	2,6	18,38	363,76976	3,6	-2,90
201	259,21296	3,0	18,29	368,05051	2,1	-3,13
202	259,67291	3,0	18,55	373,31557	3,4	-3,67
203	259,87429	2,6	18,39	377,79216	3,0	-4,27
204	260,12901	2,6	18,07	378,98555	2,8	-3,89
205	263,23771	3,2	18,34	379,77787	2,1	-4,26
206	263,67248	3,0	18,61	380,59408	2,8	-4,08
207	266,10576	3,6	18,31	381,16240	2,1	-4,39
208	266,11045	2,1	18,13	383,84059	2,3	-4,31
209	266,75003	2,3	18,18	390,02939	2,8	-4,43
210	267,10373	2,6	18,64	392,91749	2,3	-4,29
211	267,52613	3,8	18,54	394,76880	2,8	-4,56
212	268,15504	3,2	18,02	398,26789	3,0	-4,41
213	270,22608	2,6	17,87	398,51877	2,3	-4,99
214	271,37296	3,0	18,11	401,81648	2,6	-4,15
215	272,02875	3,0	17,83	402,55973	2,3	-4,28
216	273,92955	3,0	17,49	402,96933	3,0	-4,07
217	274,38992	2,8	17,38	403,60037	2,8	-4,15
218	275,06277	2,3	17,66	413,17477	2,6	-3,79
219	279,69339	2,6	18,28	415,20827	2,6	-4,60
220	279,76720	2,3	17,61	415,97243	3,2	-4,22
221	279,84016	3,8	17,99	420,07184	3,2	-3,47
222	280,01040	3,2	18,30	420,14395	3,0	-3,50
223	282,69883	3,2	18,24	421,84123	2,1	-3,15
224	282,74661	2,6	18,06	423,38576	2,8	-4,18
225	285,45168	2,3	19,02	424,77755	2,8	-3,68
226	286,14160	2,3	19,19	430,28283	3,0	-3,13
227	289,17307	2,3	19,31	430,59472	2,3	-2,88
228	289,46491	2,3	19,53	431,18139	2,1	-3,00
229	290,55248	2,3	19,02	433,15813	2,6	-4,77
230	292,82661	3,4	18,74	441,40987	4,1	-3,87
231	294,96336	2,8	18,66	448,51387	2,8	-8,85
