DXEX v5
C:\Users\LDA-User\Desktop\MIS1_SS24.lda
11:24:15
12;0,00 mm;0,00 mm;125,00 mm
New Region
"Row#"	"Arrival Time [ms]"	"Transit Time [us]"	"Velocity U [m/s]"	"Arrival Time{2} [ms]"	"Transit Time{2} [us]"	"Velocity V (PDA){2} [m/s]"	
1	0,90853	2,6	19,32	0,84283	2,8	-1,68
2	0,95120	2,8	19,28	0,95077	2,8	-1,96
3	3,00645	3,0	19,15	3,00645	2,3	-2,92
4	3,48219	3,6	19,05	3,05552	3,2	-2,67
5	4,54629	2,8	19,57	3,48219	3,4	-2,64
6	4,68155	3,6	20,26	4,90171	2,8	-2,17
7	4,90213	2,3	20,28	5,55067	1,9	-2,70
8	5,98373	2,6	13,81	7,80048	3,6	-8,08
9	7,80091	2,3	16,68	8,15163	3,0	-6,44
10	8,24336	4,7	14,92	8,84453	2,8	-8,81
11	11,65328	3,2	17,15	11,05765	2,6	-5,05
12	12,98832	2,3	17,53	11,45189	3,0	-4,61
13	15,91696	2,3	18,53	11,67845	2,3	-4,28
14	17,10011	3,2	17,73	11,86021	2,3	-4,18
15	20,85520	3,0	16,83	12,91493	2,3	-3,32
16	21,04891	2,8	17,15	14,84133	3,6	-3,03
17	24,12048	2,6	17,87	15,15280	3,8	-3,21
18	25,76443	3,4	18,78	15,91696	2,6	-3,77
19	26,77904	3,2	19,31	17,43248	2,6	-3,55
20	27,63536	2,3	19,23	19,22107	2,1	-2,58
21	32,66192	2,1	19,39	20,85477	3,2	-2,12
22	34,58661	2,8	19,65	21,05957	2,6	-2,08
23	34,60539	2,6	19,59	21,63856	2,6	-2,08
24	34,83536	2,3	19,37	23,32560	2,8	-1,92
25	37,38853	2,3	19,95	23,95749	3,2	-2,04
26	40,04496	3,0	17,48	24,12005	2,3	-1,86
27	44,30864	2,6	18,21	24,63845	2,8	-2,08
28	44,32144	3,0	17,97	26,41339	2,1	-2,27
29	45,83696	2,6	18,59	27,63536	2,1	-2,31
30	46,60411	2,6	18,75	29,17776	2,3	-3,03
31	47,27824	2,6	18,99	32,66192	2,6	-2,64
32	47,34309	3,4	18,73	34,26448	1,7	-2,35
33	48,41189	3,2	18,74	36,33765	2,8	-2,38
34	48,83557	3,2	18,58	37,52677	2,3	-3,77
35	49,72432	2,3	18,66	38,73339	2,3	-4,57
36	49,91973	3,6	19,03	38,81232	2,1	-4,78
37	50,64251	2,1	18,74	38,88656	2,1	-4,22
38	52,38245	2,1	19,16	39,25605	2,8	-4,45
39	56,02875	2,3	15,34	40,04453	3,2	-5,34
40	63,91739	3,4	17,66	40,25360	2,6	-5,29
41	68,64827	3,2	16,82	40,42341	1,9	-5,19
42	70,32891	2,6	17,32	42,53029	2,3	-3,64
43	71,49285	3,4	17,21	42,80763	1,9	-3,80
44	73,11547	3,4	18,10	43,15621	3,6	-3,35
45	80,15163	3,2	18,99	44,91536	2,3	-3,14
46	82,44880	2,1	19,13	45,10181	4,1	-3,20
47	88,57019	3,4	18,80	45,55237	2,1	-3,29
48	89,18587	3,2	19,01	45,67312	2,1	-3,48
49	89,92315	2,6	18,52	46,60411	3,6	-3,46
50	90,10064	2,6	18,68	47,27781	2,6	-3,39
51	92,28816	2,6	18,67	47,39557	3,4	-3,23
52	92,35088	3,0	18,88	47,48603	2,3	-3,36
53	92,71696	3,0	19,05	47,87173	2,6	-3,19
54	93,27035	2,1	18,75	48,83557	2,8	-3,00
55	95,96773	2,3	18,96	50,64251	3,0	-2,33
56	97,33136	3,0	18,67	56,66107	3,4	-6,76
57	97,50075	2,6	18,94	57,44613	3,4	-6,08
58	99,37552	3,4	18,15	57,86811	2,3	-3,89
59	102,82640	3,2	18,01	58,41253	3,4	-4,54
60	103,34139	3,6	17,74	58,99280	1,7	-4,62
61	108,67131	3,0	17,63	59,15109	1,9	-4,54
62	109,00368	2,3	17,81	59,35547	2,6	-4,35
63	109,79216	2,3	17,82	60,15547	2,3	-4,51
64	110,59344	2,8	17,59	63,91696	3,6	-3,39
65	111,76976	3,0	17,48	64,75835	3,4	-3,01
66	112,13755	2,6	17,71	65,15515	1,7	-2,85
67	112,56933	3,2	17,65	66,11045	3,6	-2,90
68	117,33264	2,3	17,89	66,82427	2,6	-2,55
69	118,97829	2,8	18,04	66,92837	3,2	-2,52
70	119,73349	3,0	18,36	66,97488	2,3	-2,26
71	120,56848	3,0	18,29	68,64784	3,0	-2,11
72	120,85179	3,0	18,20	70,76581	2,3	-1,78
73	120,87525	2,6	18,47	71,49285	3,0	-1,80
74	122,94672	2,6	18,62	71,90075	3,8	-1,89
75	124,41488	3,8	18,65	72,91835	2,8	-1,71
76	124,83984	2,3	18,46	73,40347	2,3	-1,76
77	126,79824	3,0	18,71	78,01360	2,8	-1,36
78	127,33883	2,6	18,39	79,10757	2,8	-1,60
79	127,83077	4,1	18,86	79,45403	2,8	-1,58
80	128,61541	2,3	18,85	80,86587	3,0	-1,65
81	128,74597	2,3	18,73	81,70725	3,0	-1,83
82	133,31771	2,6	18,16	82,44880	3,4	-1,87
83	134,67664	3,6	18,52	84,20709	2,1	-2,53
84	137,50288	2,6	18,31	87,22917	3,2	-2,75
85	137,86171	3,0	18,17	88,88037	1,9	-2,30
86	137,99269	4,3	18,41	89,12229	2,1	-2,19
87	139,47835	4,5	18,34	90,41381	2,3	-2,00
88	139,48389	2,8	18,40	92,07483	1,9	-1,86
89	140,05861	3,0	18,08	92,09701	2,8	-1,82
90	141,17989	3,2	18,39	92,73488	2,6	-1,58
91	141,84677	2,8	18,43	93,33819	3,4	-1,99
92	142,50469	3,0	18,15	94,34384	2,6	-2,11
93	144,16784	2,6	18,65	95,31920	3,4	-2,43
94	145,59035	3,2	18,34	96,07525	2,3	-2,56
95	148,19045	2,6	18,69	96,28347	1,9	-2,56
96	148,72677	2,8	18,79	97,29509	2,6	-2,95
97	151,09904	4,3	18,46	98,04091	2,3	-3,49
98	152,61200	3,2	18,43	98,74619	2,3	-3,14
99	153,28101	2,6	18,38	99,89605	2,6	-3,14
100	161,28656	2,3	17,87	100,68112	2,3	-3,03
101	161,51781	3,4	17,98	100,75664	3,2	-3,25
102	162,47099	2,8	17,71	100,88805	2,3	-3,10
103	162,80336	2,6	17,89	100,99045	2,6	-3,40
104	164,04453	2,6	18,22	102,74917	3,2	-3,07
105	165,42053	3,4	18,00	105,28400	2,3	-0,49
106	165,66501	2,8	18,50	106,35963	3,4	-3,30
107	168,05051	3,8	18,95	106,58149	3,2	-3,08
108	170,42960	2,6	18,97	107,59099	3,0	-3,15
109	170,70437	2,1	18,87	107,87600	2,6	-3,02
110	171,11739	3,8	18,75	108,28560	3,0	-2,98
111	171,97328	3,2	18,91	108,67045	2,6	-2,88
112	172,57104	2,1	19,02	108,90768	2,6	-2,97
113	177,15472	2,1	20,57	109,83568	2,6	-2,80
114	177,78917	3,2	20,22	110,59301	2,8	-2,97
115	179,02864	3,4	20,89	111,76976	3,0	-2,69
116	179,10331	2,1	20,49	112,13755	3,6	-2,73
117	180,01680	2,6	19,38	112,36453	3,6	-2,56
118	180,38160	2,8	19,21	112,51387	2,6	-2,50
119	180,50832	2,6	19,31	112,56933	2,3	-2,59
120	180,94907	2,3	19,27	112,76219	2,1	-2,56
121	182,88571	2,3	18,50	113,22768	3,8	-2,36
122	183,14299	3,0	17,96	113,70512	2,6	-2,06
123	183,24667	2,8	17,89	115,39856	2,6	-1,89
124	192,25104	3,0	18,09	117,00752	2,6	-1,72
125	192,75792	2,8	18,52	117,33221	2,6	-1,83
126	194,39248	3,4	19,07	118,97787	3,4	-1,57
127	197,01179	2,8	18,75	119,63579	2,1	-1,46
128	198,04603	3,0	18,59	119,66437	4,3	-1,62
129	199,15536	3,0	18,93	119,67547	2,3	-1,50
130	200,06672	2,8	19,34	119,73307	2,1	-1,41
131	202,09552	2,8	19,65	120,85136	3,4	-1,52
132	209,04251	3,0	19,19	120,87483	2,1	-1,59
133	215,66949	3,4	18,87	121,73029	3,2	-1,60
134	217,16965	2,1	18,76	122,46757	2,8	-1,62
135	217,33221	2,1	19,07	122,94672	3,6	-1,74
136	219,29019	2,6	17,96	124,49509	2,6	-1,88
137	224,65936	2,6	16,44	125,10181	2,6	-1,82
138	224,73915	3,4	18,00	126,36560	3,6	-2,06
139	225,65520	2,8	15,73	126,88869	3,8	-2,14
140	227,60763	3,0	15,94	128,08891	2,3	-2,23
141	228,43280	4,1	17,74	128,37008	2,8	-2,34
142	229,16923	2,8	17,74	128,64059	1,9	-1,87
143	232,11835	3,0	16,24	129,54896	2,1	-2,31
144	232,16272	3,2	16,44	129,69019	3,0	-1,99
145	234,23589	2,6	16,62	129,76827	1,7	-1,94
146	234,58747	2,6	17,15	130,56699	3,0	-2,11
147	236,48699	2,3	17,59	132,30693	3,4	-1,95
148	238,26192	2,8	17,77	133,31728	3,8	-1,82
149	238,67365	3,2	17,66	135,91952	2,6	-1,73
150	239,55131	3,4	17,68	136,63077	1,9	-1,88
151	239,88155	3,2	18,19	136,84411	3,0	-1,93
152	240,74597	2,3	18,23	137,09072	2,6	-1,91
153	241,66160	2,3	18,85	137,50245	3,4	-2,01
154	242,11259	2,8	19,39	137,99269	2,6	-2,00
155	246,91045	2,6	18,20	139,48432	2,6	-2,06
156	250,82043	3,2	18,26	139,62768	2,3	-2,09
157	253,39920	3,4	17,92	140,05861	3,6	-1,98
158	254,37413	3,0	17,85	140,26000	3,6	-1,89
159	254,78373	3,2	17,73	142,40187	3,4	-1,65
160	256,52325	3,4	17,61	142,50469	2,6	-1,72
161	257,41072	2,6	18,07	143,77104	3,0	-1,61
162	261,22981	3,2	18,29	144,25232	2,1	-1,34
163	263,02437	2,8	18,36	145,11803	2,1	-1,26
164	265,47813	3,2	17,34	145,59077	3,2	-1,32
165	266,81275	2,8	17,95	147,40197	2,1	-1,39
166	267,50309	3,0	18,19	147,81883	1,9	-1,31
167	269,33904	3,0	19,45	152,61883	2,3	-1,58
168	272,63973	3,2	18,83	154,89040	2,1	-1,31
169	272,73915	2,6	19,28	155,00688	3,0	-1,29
170	273,21104	3,0	19,10	155,45061	2,6	-1,20
171	274,70651	2,8	19,46	155,91397	3,8	-1,38
172	274,84859	3,8	19,54	156,07397	2,3	-1,12
173	275,07899	2,3	19,72	156,97467	3,0	-1,21
174	275,45659	3,2	19,75	159,04955	3,2	-1,32
175	278,47355	3,8	13,38	159,20357	2,8	-1,21
176	278,66341	2,8	13,36	160,47888	3,4	-1,23
177	280,96315	3,0	12,37	160,77584	2,1	-1,30
178	281,70725	2,6	17,56	161,09115	2,1	-0,86
179	282,79781	2,3	16,25	161,20293	1,9	-1,20
180	284,40080	3,2	16,19	161,51824	2,6	-1,17
181	286,85840	2,8	17,39	162,47056	3,0	-1,24
182	286,95995	2,6	17,35	164,06544	3,4	-1,02
183	288,06629	2,8	16,12	167,76165	3,4	-1,16
184	288,88037	2,8	15,91	168,00656	3,8	-1,01
185	289,47856	4,5	15,84	168,64016	2,1	-0,92
186	290,26277	3,4	15,78	170,87077	3,8	-1,04
187	291,62853	4,1	16,16	171,11696	3,6	-1,10
188	295,57179	2,8	17,62	172,57104	3,0	-1,33
189	295,66864	2,3	17,60	175,18736	2,8	-1,31
190	296,92560	2,3	18,03	175,50309	2,3	-1,40
191	297,38213	2,6	18,65	176,43920	2,6	-1,88
192	297,85488	2,3	18,34	178,10619	2,1	-2,21
193	301,42181	2,6	18,08	179,10331	2,1	-2,87
