DXEX v5
C:\Users\LDA-User\Desktop\MIS1_SS24.lda
11:22:24
5;0,00 mm;0,00 mm;-50,00 mm
New Region
"Row#"	"Arrival Time [ms]"	"Transit Time [us]"	"Velocity U [m/s]"	"Arrival Time{2} [ms]"	"Transit Time{2} [us]"	"Velocity V (PDA){2} [m/s]"	
1	0,52965	2,6	18,10	0,79461	3,2	0,96
2	0,79419	2,8	18,44	6,24912	2,6	-0,02
3	2,82811	3,0	16,34	6,38309	2,8	0,39
4	4,03515	3,4	14,44	7,12464	2,6	0,91
5	7,88368	2,8	18,72	7,68357	1,7	0,79
6	8,13456	2,3	19,18	9,95899	2,6	2,23
7	8,94565	1,9	21,45	12,01552	2,6	-2,79
8	12,01552	3,4	16,98	12,42256	2,3	-6,10
9	17,85232	3,0	20,39	13,51099	2,3	-0,55
10	18,75728	3,2	18,15	14,53584	2,3	-0,48
11	25,93680	3,6	12,73	14,72613	3,8	-0,11
12	29,50373	2,6	16,08	14,91600	3,2	-0,10
13	30,51877	3,8	16,15	21,26480	2,6	-4,12
14	32,89019	2,8	16,89	21,34715	2,8	-4,31
15	34,87077	3,0	17,46	21,35653	2,3	-4,39
16	39,32389	2,8	16,94	21,73243	3,0	-5,21
17	46,89509	2,6	18,43	21,94917	3,0	-5,59
18	50,81061	3,0	17,94	22,50939	3,6	-3,11
19	52,27536	2,6	18,43	24,02235	4,7	-2,64
20	53,80453	2,8	17,78	24,30608	3,0	0,07
21	55,87259	2,3	18,28	25,23195	3,2	-5,04
22	55,92165	2,8	18,07	29,62149	2,8	-0,73
23	57,80325	3,4	18,08	29,84763	3,0	-1,83
24	59,14853	2,1	18,40	30,31013	2,8	-2,86
25	60,52795	3,4	18,18	30,72699	2,1	-1,42
26	60,59493	2,8	18,29	31,58800	2,1	-2,84
27	60,75493	3,4	18,31	32,89019	3,0	-2,88
28	62,76539	3,0	18,34	35,65968	2,6	-2,79
29	63,21424	3,2	18,37	37,38043	2,1	-2,65
30	63,96219	2,6	18,29	37,97947	2,3	-2,34
31	67,22405	2,6	18,49	38,18171	1,9	-2,88
32	68,24635	3,0	17,92	39,40411	2,3	-1,82
33	72,70800	2,1	18,50	43,81755	2,3	-2,67
34	74,47824	2,3	18,34	44,05136	2,1	-2,52
35	75,63664	3,2	18,65	44,35771	3,0	-1,32
36	77,64496	3,4	18,77	44,96528	3,6	-2,26
37	80,22587	2,6	18,32	47,41563	3,4	-3,09
38	83,67888	2,8	18,28	49,86640	2,3	-2,95
39	83,87685	3,2	18,40	50,81019	2,6	-2,84
40	83,92933	2,3	18,38	53,05232	2,8	-2,45
41	85,74139	2,8	18,27	53,80453	3,0	-2,99
42	88,30480	2,6	18,10	56,37093	2,3	-2,87
43	88,98021	3,0	18,18	57,80325	3,4	-3,06
44	92,30480	2,8	17,82	58,00165	3,0	-2,73
45	92,59451	2,1	17,62	59,40581	3,6	-2,80
46	92,88549	2,6	17,99	60,11323	3,2	-3,22
47	95,88581	2,6	17,71	60,30821	1,9	-2,84
48	96,48613	2,6	17,94	60,75493	3,0	-2,97
49	97,85744	2,3	17,96	62,54352	2,6	-2,91
50	99,99035	2,8	17,84	68,63504	3,0	-3,11
51	104,01936	2,8	17,44	70,21840	2,6	-3,44
52	104,12987	2,8	17,70	71,26160	2,6	-2,98
53	105,71365	2,6	17,65	72,22075	2,3	-3,11
54	107,14811	3,2	17,52	72,94949	2,3	-3,07
55	110,85413	3,0	17,42	73,51696	1,7	-2,78
56	111,60421	2,8	17,44	75,58672	2,3	-3,11
57	111,83845	2,8	17,79	76,55781	2,6	-2,99
58	112,50277	2,3	17,70	77,12187	2,6	-3,17
59	112,57701	4,1	17,56	79,69851	2,1	-3,00
60	113,70299	2,8	17,45	79,97499	2,3	-3,02
61	114,43216	3,2	17,65	80,66320	2,6	-2,90
62	114,49701	3,6	17,61	82,06949	1,9	-3,18
63	117,37531	2,8	17,53	83,53125	1,7	-3,04
64	118,52517	2,6	17,92	83,87685	2,8	-2,94
65	118,55717	3,4	17,67	85,74096	2,3	-3,15
66	119,42245	3,2	17,74	85,97904	2,6	-2,30
67	119,75141	2,3	18,17	88,27579	2,6	-2,73
68	122,27173	2,3	17,88	88,30395	3,6	-2,82
69	126,90661	2,1	17,99	91,79493	2,1	-2,79
70	128,48571	3,4	17,72	91,92635	5,3	-2,90
71	128,63760	1,9	18,22	92,30480	3,0	-2,90
72	129,39365	2,3	18,02	93,52336	1,7	-2,86
73	134,36859	3,2	18,03	93,83696	2,8	-2,62
74	134,86267	3,2	17,99	94,62331	3,0	-2,75
75	136,33723	3,2	17,93	95,68101	3,2	-2,45
76	141,00752	2,3	18,32	96,48613	3,0	-2,75
77	141,88517	2,1	18,03	100,00741	3,6	-2,85
78	142,00037	3,0	18,30	102,12155	2,8	-3,05
79	142,87589	3,4	18,16	104,01936	2,6	-2,96
80	144,12176	2,3	18,87	104,39739	2,1	-3,03
81	151,33755	2,8	18,63	106,13349	3,2	-2,98
82	152,25701	2,8	18,56	107,58928	2,1	-2,79
83	153,66032	2,3	18,34	109,46491	2,3	-2,98
84	153,95472	2,6	18,61	110,85371	4,1	-2,93
85	155,10501	3,4	18,53	111,37979	3,4	-3,28
86	155,17115	3,4	18,21	111,63280	2,8	-3,11
87	157,38725	2,3	18,26	112,50277	3,4	-3,15
88	158,85797	2,6	18,60	113,07707	2,6	-3,22
89	161,05275	3,4	18,29	113,70256	2,8	-3,28
90	162,25509	2,8	18,47	114,43173	2,8	-3,13
91	164,37605	2,6	17,86	114,49659	3,8	-3,23
92	167,56837	2,8	18,29	116,39184	3,0	-3,15
93	167,92421	3,0	18,08	116,83728	3,2	-3,26
94	168,06117	2,8	17,92	117,04933	3,0	-3,00
95	168,28347	2,3	18,06	117,07237	2,1	-3,38
96	169,34587	4,3	17,49	118,05755	2,6	-3,37
97	170,49019	2,8	17,73	119,42288	3,4	-3,37
98	175,61445	2,6	17,76	120,10043	2,3	-3,23
99	176,81509	2,8	17,46	120,22288	2,6	-3,27
100	178,19749	2,6	17,98	120,95888	2,6	-3,48
101	179,73435	2,8	17,68	122,25595	3,2	-3,53
102	180,06075	3,2	17,41	123,15323	2,3	-3,42
103	180,86416	2,1	17,68	124,00059	2,6	-3,42
104	184,48997	3,2	17,92	125,16197	2,3	-3,67
105	186,25339	3,2	17,71	125,56603	4,1	-3,53
106	186,93221	2,6	17,97	126,67664	2,8	-3,23
107	188,41019	2,6	18,13	127,02907	2,1	-3,56
108	188,63163	2,1	17,79	127,16859	2,3	-3,17
109	188,67600	4,5	17,92	127,34864	2,6	-3,36
110	188,96144	2,6	17,99	128,98107	3,0	-3,16
111	190,30629	4,3	18,10	129,85061	1,7	-3,26
112	190,87632	2,3	18,23	131,59141	2,3	-3,14
113	192,64443	2,6	18,34	132,05989	2,6	-3,23
114	193,73925	3,2	18,63	133,19739	3,0	-3,34
115	194,40187	3,2	18,46	133,83312	3,0	-3,41
116	195,04443	2,6	18,32	134,36859	3,8	-3,36
117	195,15920	2,3	18,69	134,86267	1,9	-3,42
118	195,57307	3,2	18,62	137,78747	2,6	-3,50
119	197,06299	2,3	18,51	137,94235	2,3	-3,24
120	202,03579	2,1	18,54	139,06619	2,8	-3,15
121	202,05413	3,0	18,54	139,75099	2,3	-3,43
122	204,45285	2,8	18,52	141,54043	2,3	-3,45
123	205,26011	2,8	18,44	142,54608	1,9	-3,48
124	208,62352	3,0	17,93	142,82341	2,1	-3,47
